2019-08-09 00:00:00 Launching analysis for 1113064533 with LEAN Engine v2.5.0.0
2019-08-09 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2019-08-09 00:00:00 Algorithm starting warm up...
2020-01-02 11:00:00 Algorithm finished warming up.
2020-01-30 16:00:00 Rebalancing NVDA: Current Weight: 0.00%, Target Weight: 11.11%, Price: $245.81, EMA: $245.23
2020-01-31 16:00:00 Rebalancing NVDA: Current Weight: 10.68%, Target Weight: -11.11%, Price: $236.43, EMA: $244.39
2020-02-04 16:00:00 Rebalancing NVDA: Current Weight: -11.47%, Target Weight: 11.11%, Price: $247.13, EMA: $244.30
2020-02-14 16:00:00 Rebalancing NVDA: Current Weight: 12.68%, Target Weight: 11.11%, Price: $289.79, EMA: $257.22
2020-02-25 16:00:00 Rebalancing NVDA: Current Weight: 10.01%, Target Weight: -11.11%, Price: $262.05, EMA: $271.51
2020-02-28 16:00:00 Rebalancing NVDA: Current Weight: -11.44%, Target Weight: 11.11%, Price: $270.07, EMA: $269.44
2020-03-03 16:00:00 Rebalancing NVDA: Current Weight: 10.80%, Target Weight: -11.11%, Price: $265.72, EMA: $269.69
2020-03-04 16:00:00 Rebalancing NVDA: Current Weight: -11.91%, Target Weight: 11.11%, Price: $284.51, EMA: $271.10
2020-03-06 16:00:00 Rebalancing NVDA: Current Weight: 10.33%, Target Weight: -11.11%, Price: $266.08, EMA: $270.81
2020-03-12 16:00:00 Rebalancing NVDA: Current Weight: -8.84%, Target Weight: -11.11%, Price: $216.31, EMA: $260.97
2020-03-13 16:00:00 Rebalancing NVDA: Current Weight: -12.45%, Target Weight: -11.11%, Price: $240.93, EMA: $259.07
2020-03-16 16:00:00 Rebalancing NVDA: Current Weight: -8.74%, Target Weight: -11.11%, Price: $196.40, EMA: $253.10
2020-03-17 16:00:00 Rebalancing NVDA: Current Weight: -12.22%, Target Weight: -11.11%, Price: $217.27, EMA: $249.69
2020-03-18 16:00:00 Rebalancing NVDA: Current Weight: -10.08%, Target Weight: -11.11%, Price: $202.82, EMA: $245.22
2020-03-24 16:00:00 Rebalancing NVDA: Current Weight: -13.74%, Target Weight: 11.11%, Price: $249.18, EMA: $237.44
2020-04-01 16:00:00 Rebalancing NVDA: Current Weight: 10.70%, Target Weight: -11.11%, Price: $243.07, EMA: $245.24
2020-04-02 16:00:00 Rebalancing NVDA: Current Weight: -11.56%, Target Weight: 11.11%, Price: $255.47, EMA: $246.22
2020-04-03 16:00:00 Rebalancing NVDA: Current Weight: 10.56%, Target Weight: -11.11%, Price: $243.91, EMA: $246.00
